case,comparison,reference,candidate,psnr,ssim,mae,rmse
hq_param_nf_008_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_008\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_008\00079_rec_wo_2000.png,20.4044,0.944140,16.7226,24.3400
hq_prompt_similar_00079,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_similar\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_similar\00079_hide_pw_2000.png,20.5685,0.941586,15.7398,23.8844
hq_prompt_similar_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_similar\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_similar\00079_rec_w_2000.png,24.8765,0.979801,9.6924,14.5451
hq_prompt_similar_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_similar\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_similar\00079_rec_wo_2000.png,21.2330,0.950981,14.8019,22.1253
hq_prompt_style_00079,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_style\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_style\00079_hide_pw_2000.png,20.7558,0.942491,15.7516,23.3750
hq_prompt_style_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_style\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_style\00079_rec_w_2000.png,24.7029,0.978888,9.6830,14.8386
hq_prompt_style_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_style\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_style\00079_rec_wo_2000.png,20.8389,0.943559,15.7397,23.1524
hq_prompt_unrelated_00079,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_unrelated\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_unrelated\00079_hide_pw_2000.png,19.7472,0.925799,18.1651,26.2531
hq_prompt_unrelated_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_unrelated\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_unrelated\00079_rec_w_2000.png,24.7711,0.979477,9.9903,14.7226
hq_prompt_unrelated_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_unrelated\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_unrelated\00079_rec_wo_2000.png,19.9261,0.929714,17.7838,25.7180
hq_prompt_weak_00079,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_weak\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_weak\00079_hide_pw_2000.png,20.3969,0.939891,16.4093,24.3609
hq_prompt_weak_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_weak\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_weak\00079_rec_w_2000.png,25.0647,0.981367,9.7923,14.2333
hq_prompt_weak_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_weak\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_prompt_weak\00079_rec_wo_2000.png,20.4959,0.941524,16.0988,24.0849
